id,text,external_id
Ambientes,5,127
Recámaras,2,127
Baños,2,127
Estacionamientos,1,127
Antigüedad,0 años,127
Superficie total,85 m²,128
Superficie construida,85 m²,128
Recámaras,2,128
Baños,2,128
Estacionamientos,2,128
Antigüedad,12 años,128
Superficie total,136 m²,129
Superficie construida,136 m²,129
Recámaras,3,129
Baños,2,129
Estacionamientos,1,129
Antigüedad,40 años,129
Superficie total,121 m²,130
Superficie construida,121 m²,130
Ambientes,5,130
Recámaras,3,130
Baños,2,130
Estacionamientos,2,130
Antigüedad,15 años,130
Superficie total,100 m²,131
Superficie construida,100 m²,131
Estacionamientos,1,131
Antigüedad,0 años,131
Ambientes,2,131
Superficie total,58 m²,132
Superficie construida,58 m²,132
Recámaras,1,132
Baños,1,132
Estacionamientos,1,132
Superficie total,100 m²,133
Superficie construida,593 m²,133
Baños,6,133
Antigüedad,1 años,133
Superficie total,138 m²,134
Superficie construida,138 m²,134
Recámaras,2,134
Baños,2,134
Estacionamientos,1,134
Antigüedad,51 años,134
Superficie total,112 m²,135
Superficie construida,112 m²,135
Recámaras,3,135
Baños,2,135
Estacionamientos,1,135
Bodegas,1,135
Cantidad de pisos,4,135
Antigüedad,0 años,135
Superficie total,85 m²,136
Superficie construida,85 m²,136
Recámaras,2,136
Baños,2,136
Estacionamientos,2,136
Antigüedad,12 años,136
Superficie total,53 m²,137
Superficie construida,53 m²,137
Recámaras,1,137
Baños,1,137
Estacionamientos,1,137
Superficie total,1716 m²,138
Superficie construida,1716 m²,138
Estacionamientos,49,138
Baños,6,138
Antigüedad,22 años,138
Ambientes,8,138
Superficie total,1565 m²,139
Superficie construida,1565 m²,139
Estacionamientos,44,139
Baños,6,139
Antigüedad,22 años,139
Ambientes,8,139
Superficie total,86 m²,140
Superficie construida,86 m²,140
Recámaras,3,140
Baños,2,140
Estacionamientos,1,140
Antigüedad,35 años,140
Superficie total,151 m²,141
Superficie construida,151 m²,141
Recámaras,3,141
Baños,3,141
Estacionamientos,2,141
Antigüedad,2 años,141
Superficie total,163 m²,142
Superficie construida,163 m²,142
Recámaras,2,142
Baños,2,142
Estacionamientos,2,142
Antigüedad,1 años,142
Superficie total,200 m²,143
Superficie construida,150 m²,143
Recámaras,2,143
Baños,2,143
Estacionamientos,2,143
Admite mascotas,Sí,143
Número de piso de la unidad,4,143
Cantidad de pisos,4,143
Antigüedad,8 años,143
Disposición,Frente,143
Orientación,Sur,143
Cuota mensual de mantenimiento,3000 MXN,143
Superficie total,86 m²,144
Superficie construida,86 m²,144
Recámaras,3,144
Baños,2,144
Estacionamientos,1,144
Antigüedad,34 años,144
Superficie total,211 m²,145
Superficie construida,370 m²,145
Recámaras,6,145
Baños,3,145
Estacionamientos,4,145
Superficie total,752 m²,146
Superficie construida,200 m²,146
Estacionamientos,2,146
Baños,1,146
Baños por piso,1,146
Antigüedad,13 años,146
Superficie construida,580 m²,147
Baños,6,147
Antigüedad,2 años,147
Superficie total,171 m²,148
Superficie construida,171 m²,148
Recámaras,3,148
Baños,2,148
Estacionamientos,2,148
Antigüedad,1 años,148
Superficie total,171 m²,149
Superficie construida,171 m²,149
Recámaras,3,149
Baños,2,149
Estacionamientos,2,149
Antigüedad,1 años,149
Superficie construida,115 m²,150
Baños,1,150
Antigüedad,2 años,150
Superficie total,534 m²,151
Superficie construida,1450 m²,151
Baños,1,151
Antigüedad,60 años,151
Superficie total,89 m²,152
Superficie construida,89 m²,152
Recámaras,2,152
Baños,2,152
Estacionamientos,2,152
Superficie total,184 m²,153
Superficie construida,184 m²,153
Ambientes,5,153
Recámaras,3,153
Baños,2,153
Estacionamientos,1,153
Antigüedad,0 años,153
Superficie total,85 m²,154
Superficie construida,85 m²,154
Recámaras,2,154
Baños,2,154
Estacionamientos,2,154
Antigüedad,12 años,154
Superficie total,98 m²,155
Superficie construida,98 m²,155
Recámaras,2,155
Baños,2,155
Estacionamientos,1,155
Superficie total,60 m²,156
Superficie construida,60 m²,156
Recámaras,1,156
Baños,1,156
Estacionamientos,1,156
Antigüedad,1 años,156
Superficie total,173 m²,157
Superficie construida,173 m²,157
Recámaras,2,157
Baños,2,157
Estacionamientos,2,157
Antigüedad,1 años,157
Superficie total,78 m²,158
Superficie construida,78 m²,158
Recámaras,2,158
Baños,1,158
Estacionamientos,1,158
Antigüedad,1 años,158
Superficie total,78 m²,159
Superficie construida,78 m²,159
Recámaras,2,159
Baños,2,159
Estacionamientos,1,159
Antigüedad,1 años,159
Superficie total,110 m²,160
Superficie construida,110 m²,160
Recámaras,1,160
Baños,1,160
Estacionamientos,1,160
Antigüedad,1 años,160
Superficie total,102 m²,161
Superficie construida,102 m²,161
Ambientes,3,161
Recámaras,2,161
Baños,1,161
Antigüedad,10 años,161
Superficie total,65 m²,162
Superficie construida,65 m²,162
Recámaras,2,162
Baños,1,162
Estacionamientos,1,162
Superficie total,46 m²,163
Superficie construida,46 m²,163
Recámaras,1,163
Baños,1,163
Estacionamientos,1,163
Antigüedad,1 años,163
Superficie total,50 m²,164
Superficie construida,50 m²,164
Ambientes,3,164
Recámaras,2,164
Baños,1,164
Antigüedad,17 años,164
Superficie total,220 m²,165
Superficie construida,360 m²,165
Recámaras,4,165
Baños,3,165
Estacionamientos,2,165
Cantidad de pisos,2,165
Superficie total,110 m²,166
Superficie construida,110 m²,166
Ambientes,4,166
Recámaras,2,166
Baños,2,166
Estacionamientos,2,166
Antigüedad,0 años,166
Superficie total,166 m²,167
Superficie construida,166 m²,167
Estacionamientos,4,167
Baños,6,167
Antigüedad,22 años,167
Ambientes,8,167
Superficie total,125 m²,168
Superficie construida,125 m²,168
Recámaras,2,168
Baños,2,168
Estacionamientos,1,168
Antigüedad,1 años,168
Superficie total,139 m²,169
Superficie construida,139 m²,169
Estacionamientos,1,169
Antigüedad,0 años,169
Superficie total,232 m²,170
Superficie construida,326 m²,170
Recámaras,4,170
Baños,4,170
Antigüedad,0 años,170
Superficie total,110 m²,171
Superficie construida,110 m²,171
Antigüedad,0 años,171
Superficie total,468 m²,172
Superficie construida,2196 m²,172
Baños,6,172
Antigüedad,0 años,172
Superficie total,101 m²,173
Superficie construida,101 m²,173
Ambientes,4,173
Recámaras,2,173
Baños,2,173
Estacionamientos,2,173
Antigüedad,0 años,173
Superficie total,61 m²,174
Superficie construida,61 m²,174
Recámaras,1,174
Baños,1,174
Estacionamientos,1,174
Antigüedad,0 años,174
Superficie total,98 m²,175
Superficie construida,98 m²,175
Ambientes,5,175
Recámaras,2,175
Baños,2,175
Estacionamientos,2,175
Antigüedad,0 años,175
Superficie total,123 m²,176
Superficie construida,123 m²,176
