id,coords
355,19.4129546%2C-99.1550058
356,19.4156973%2C-99.1649402
357,19.4356338%2C-99.1495107
358,19.4132544%2C-99.1610956
359,19.41252%2C-99.16232
360,19.4195256%2C-99.162549
361,19.4195256%2C-99.162549
362,19.4219704%2C-99.158377
363,19.417%2C-99.1555
364,19.4174375%2C-99.1593125
365,19.4210439%2C-99.1609432
366,19.4159559%2C-99.1585056
367,19.4068489%2C-99.1622222
368,19.4195256%2C-99.162549
369,19.4209936%2C-99.160929
370,19.4197%2C-99.1589
371,19.4192608%2C-99.1597209
372,19.4181%2C-99.1655
373,19.418153%2C-99.1652014
374,19.4153848%2C-99.1619716
375,19.4197%2C-99.1624
376,19.4208253%2C-99.1670359
377,19.416238%2C-99.172753
378,19.4201193%2C-99.1637581
379,19.4215581%2C-99.164362
380,19.4213%2C-99.159
381,19.419841%2C-99.165529
382,19.418153%2C-99.1652014
383,19.4205026%2C-99.1561016
384,19.4155202%2C-99.1592694
385,19.4242039%2C-99.1585249
386,19.4187351%2C-99.1710228
387,19.4146547%2C-99.1619063
388,19.4148447%2C-99.1602414
389,19.4232144%2C-99.1543002
390,19.416237%2C-99.157304
391,19.4195256%2C-99.162549
392,19.4239846%2C-99.1609735
393,19.4169934%2C-99.1710197
394,19.4176534%2C-99.1624605
395,19.4189983%2C-99.1640265
396,19.418153%2C-99.1652014
397,19.4201612%2C-99.1575363
398,19.4196351%2C-99.1579709
399,19.422802%2C-99.15614
400,19.4204082%2C-99.1589045
401,19.4121714%2C-99.1620752
402,19.4118192%2C-99.1584663
403,19.4130842%2C-99.1608389
404,19.417855%2C-99.16021
405,19.412802%2C-99.157269
406,19.4195256%2C-99.162549
407,19.418153%2C-99.1652014
408,19.4202853%2C-99.1696874
409,19.416971%2C-99.162033
410,19.424125%2C-99.15535
411,19.422602%2C-99.15661
412,19.4205542%2C-99.1650972
413,19.416248%2C-99.15731
414,19.4159559%2C-99.1585056
415,19.4120249%2C-99.1642866
416,19.4253356%2C-99.1586209
417,19.4195256%2C-99.162549
418,19.42232%2C-99.155256
419,19.4207%2C-99.1728
420,19.4141327%2C-99.1605344
421,19.4129403%2C-99.1615832
422,19.4189983%2C-99.1640265
423,19.4148447%2C-99.1602414
424,19.4127102%2C-99.1601639
425,19.41673%2C-99.156967
426,19.424807%2C-99.1598588
427,19.4195122%2C-99.1642563
428,19.4214743%2C-99.1596479
429,19.4221155%2C-99.1650541
430,19.4195256%2C-99.162549
431,19.4205542%2C-99.1650972
432,19.4137406%2C-99.1610013
433,19.4137406%2C-99.1610013
434,19.41751%2C-99.1595999
435,19.419525%2C-99.162549
436,19.4172482%2C-99.1716012
437,19.416%2C-99.1585
438,19.4141846%2C-99.1597243
439,19.4183512%2C-99.1572547
440,19.4195256%2C-99.162549
441,19.4202804%2C-99.1680059
442,19.4137406%2C-99.1610013
443,19.415555%2C-99.161592
444,19.4259879%2C-99.1622261
445,19.4205542%2C-99.1650972
446,19.4168211%2C-99.1596475
447,19.4225256%2C-99.159549
448,19.4202%2C-99.1684
449,19.4218279%2C-99.1574316
450,19.4263356%2C-99.1576209
451,19.41984%2C-99.174656
452,19.418153%2C-99.1652014
453,19.417644%2C-99.16664
454,19.4155297%2C-99.1666371
455,19.4093329%2C-99.1365482
456,19.4203566%2C-99.1587749
457,19.4202448%2C-99.1695894
458,19.4158401%2C-99.1596792
459,19.4147648%2C-99.1578207
460,19.4228023%2C-99.1561449
461,19.4127033%2C-99.1619273
462,19.4146488%2C-99.1604736
463,19.4081736%2C-99.1687026
464,19.4206266%2C-99.159894
465,19.419525%2C-99.162549
466,19.4195256%2C-99.162549
467,19.4168626%2C-99.1545983
468,19.4247291%2C-99.1549124
