main_name|subtitle|link|location|price|attributes|id|address|lat|lon|since
Oficina En Ph En Renta. 97m2 Col. Roma, Muy Cerca De Mb Álva|Oficina en renta|https://inmueble.metroscubicos.com/MLM-1353707664-oficina-en-ph-en-renta-97m2-col-roma-muy-cerca-de-mb-alva-_JM#position=40&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Guanajuato, Roma Norte, Cuauhtémoc, Distrito Federal|22000 pesos|97 m² construidos|40|Guanajuato|19.39068|-99.2836995|
Renta Oficina Roma Norte Piso Completo|Oficina en renta|https://inmueble.metroscubicos.com/MLM-1358163195-renta-oficina-roma-norte-piso-completo-_JM#position=41&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Roma Norte, Cuauhtémoc, Distrito Federal|55000 pesos|200 m² construidos|41||19.39068|-99.2836995|Publicado hace 55 días
Plaza Río De Janeiro Departamento Remodelado|Departamento en renta|https://departamento.metroscubicos.com/MLM-1358539178-plaza-rio-de-janeiro-departamento-remodelado-_JM#position=42&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Plaza Río De Janeiro 53, Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal|32000 pesos|208 m² construidos,3 recs.|42|Plaza Río De Janeiro 53, Roma Norte, Ciudad De México, Cdmx, México|19.39068|-99.2836995|Publicado hace 54 días
Departamento Con Terraza Privada,  De Dos Niveles,  En Planta Baja|Departamento en venta|https://departamento.metroscubicos.com/MLM-1356469701-departamento-con-terraza-privada-de-dos-niveles-en-planta-baja-_JM#position=43&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Jalapa 164, Roma Norte, Cuauhtémoc, Distrito Federal|4950000 pesos|99 m² construidos,2 recs.|43|Jalapa 164|19.39068|-99.2836995|Publicado hace 1 meses
Departamento En Venta En Roma Norte Con Excelente Ubicación|Departamento en venta|https://departamento.metroscubicos.com/MLM-1361683764-departamento-en-venta-en-roma-norte-con-excelente-ubicacion-_JM#position=44&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Oaxaca, Roma Norte, Cuauhtémoc, Distrito Federal|7500000 pesos|94 m² construidos,2 recs.|44|Oaxaca|19.39068|-99.2836995|Publicado hace 43 días
Departamento En Venta En La Colonia Roma Norte|Departamento en venta|https://departamento.metroscubicos.com/MLM-924787538-departamento-en-venta-en-la-colonia-roma-norte-_JM#position=45&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Colima 251, Roma Norte, Cuauhtémoc, Distrito Federal|5600000 pesos|90 m² construidos,2 recs.|45|Colima 251|19.39068|-99.2836995|Publicado hace 9 meses
Local Comercial Colonia Roma En Venta Ya Produciendo|Local comercial en venta|https://inmueble.metroscubicos.com/MLM-1359096392-local-comercial-colonia-roma-en-venta-ya-produciendo-_JM#position=46&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Guanajuato 147, Roma Norte, Cuauhtémoc, Distrito Federal|9500000 pesos|136 m² construidos|46|Guanajuato 147|19.39068|-99.2836995|Publicado hace 1 año
Increíble Depto En El Corazón De La Roma|Departamento en renta|https://departamento.metroscubicos.com/MLM-1367892564-increible-depto-en-el-corazon-de-la-roma-_JM#position=47&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|San Luis Potosi  79, Roma Norte, Cuauhtémoc, Distrito Federal|22000 pesos|102 m² construidos,1 rec.|47|San Luis Potosi  79|19.39068|-99.2836995|Publicado hace 26 días
Despacho Dentro De Oficina En Renta Col Roma Norte Ubicada|Oficina en renta|https://inmueble.metroscubicos.com/MLM-1358567930-despacho-dentro-de-oficina-en-renta-col-roma-norte-ubicada-_JM#position=48&search_layout=grid&type=item&tracking_id=077a4fe9-ef0c-4d2d-abe1-8f19ecb9fb61|Morelia 38, Roma Norte, Cuauhtémoc, Distrito Federal|4700 pesos|12 m² construidos|48|Morelia 38|19.39068|-99.2836995|Publicado hace 4 años
Despacho Dentro De Oficina En Renta Col Roma Norte Ubicada|Oficina en renta|https://inmueble.metroscubicos.com/MLM-1358567930-despacho-dentro-de-oficina-en-renta-col-roma-norte-ubicada-_JM#position=1&search_layout=grid&type=item&tracking_id=1e02da61-e055-4c34-9114-129c216c9cf7|Morelia 38, Roma Norte, Cuauhtémoc, Distrito Federal|4700 pesos|12 m² construidos|49|Morelia 38|19.39068|-99.2836995|Publicado hace 4 años
