price_type,lat,lon,years,CVEGEO,new_id,num_comercios_imp,is_consultorio_imp,is_recreativo_imp,is_retail_imp,is_escuela_imp,Baños_imp,Recámaras_imp,precio_m2_final,nearest_50_pct_price,nearest_75_pct_price,nearest_25_pct_price,nearest_std_price,distance_parque,distance_fuente,ageb_precio_m2_25_pct,ageb_precio_m2_50_pct,ageb_precio_m2_75_pct
venta,19.4195256,-99.162549,0.0,0901500011002,431,317.0,17.0,59.0,71.0,15.0,1.0,1.0,79048.55319148937,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,434,317.0,17.0,59.0,71.0,15.0,1.0,1.0,71611.13333333333,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,437,317.0,17.0,59.0,71.0,15.0,3.0,2.0,69047.61904761905,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,438,317.0,17.0,59.0,71.0,15.0,1.0,1.0,76410.2564102564,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,439,317.0,17.0,59.0,71.0,15.0,1.0,2.0,34166.666666666664,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.419525,-99.162549,0.0,0901500011002,440,317.0,17.0,59.0,71.0,15.0,1.0,1.0,76923.07692307692,57939.99162726557,64406.91661279896,41067.415730337074,16525.542174511975,1075.3791367572612,190.72776518235648,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,441,317.0,17.0,59.0,71.0,15.0,3.0,2.0,68852.45901639345,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
renta,19.4195256,-99.162549,40.0,0901500011002,442,317.0,17.0,59.0,71.0,15.0,2.0,3.0,24489.795918367345,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,443,317.0,17.0,59.0,71.0,15.0,1.0,1.0,69298.24561403508,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.419525,-99.162549,0.0,0901500011002,444,317.0,17.0,59.0,71.0,15.0,1.0,1.0,76923.07692307692,57939.99162726557,64406.91661279896,41067.415730337074,16525.542174511975,1075.3791367572612,190.72776518235648,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,-1.0,0901500011002,445,317.0,17.0,59.0,71.0,15.0,2.0,1.0,72623.01639344262,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,-1.0,0901500011002,447,317.0,17.0,59.0,71.0,15.0,2.0,1.0,72623.24590163934,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,1.0,0901500011002,448,317.0,17.0,59.0,71.0,15.0,2.0,2.0,72385.45454545454,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,-1.0,0901500011002,449,317.0,17.0,59.0,71.0,15.0,2.0,2.0,57133.93023255814,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,1.0,0901500011002,450,317.0,17.0,59.0,71.0,15.0,3.0,2.0,48195.96907216495,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,453,317.0,17.0,59.0,71.0,15.0,3.0,2.0,68852.45901639345,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,454,317.0,17.0,59.0,71.0,15.0,3.0,2.0,68852.45901639345,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,455,317.0,17.0,59.0,71.0,15.0,1.0,1.0,63859.649122807015,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,456,317.0,17.0,59.0,71.0,15.0,2.0,1.0,63850.74626865672,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,457,317.0,17.0,59.0,71.0,15.0,3.0,2.0,68852.45901639345,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,458,317.0,17.0,59.0,71.0,15.0,3.0,3.0,45422.535211267605,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,459,317.0,17.0,59.0,71.0,15.0,1.0,1.0,72463.76811594203,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4217314,-99.160594,0.0,0901500011002,460,278.0,16.0,47.0,44.0,12.0,1.0,3.0,37820.51282051282,59503.28022492971,64903.84615384616,34793.50033852403,17710.974738211833,1394.3133450899193,490.315725529827,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,461,317.0,17.0,59.0,71.0,15.0,1.0,1.0,65789.47368421052,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,462,317.0,17.0,59.0,71.0,15.0,3.0,3.0,51760.56338028169,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4189983,-99.1640265,21.0,0901500011002,463,302.0,17.0,56.0,68.0,13.0,2.0,2.0,64444.444444444445,59005.84795321638,64819.81981981982,51182.24986623863,14238.956008322159,931.3158901751692,27.24753237541089,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,464,317.0,17.0,59.0,71.0,15.0,2.0,2.0,62746.47887323944,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.419525,-99.162549,0.0,0901500011002,465,317.0,17.0,59.0,71.0,15.0,2.0,2.0,56641.89814814815,60113.54804769698,67451.36943666355,41067.415730337074,16485.76098399496,1075.3791367572612,190.72776518235648,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,466,317.0,17.0,59.0,71.0,15.0,1.0,1.0,81911.76470588235,63855.96006300964,66949.31773879142,59916.66666666666,7278.611401251912,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,467,317.0,17.0,59.0,71.0,15.0,2.0,2.0,56538.46153846154,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,468,317.0,17.0,59.0,71.0,15.0,2.0,2.0,61830.98591549296,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,469,317.0,17.0,59.0,71.0,15.0,1.0,1.0,104014.8108108108,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
venta,19.4195256,-99.162549,0.0,0901500011002,470,317.0,17.0,59.0,71.0,15.0,2.0,1.0,64594.59459459459,66098.36184210527,69725.30864197531,60395.24647887323,8509.158696378114,1075.4284790384197,190.74727337775565,51428.57142857142,61785.71428571428,68852.45901639345
