main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito
Departamento En Venta En Roma Norte Cuauhtemoc 211906ru,"Roma Norte, Cuauhtémoc, Distrito Federal",1324,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,0.0,4110000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte 22679lc,"Roma Norte, Cuauhtémoc, Distrito Federal",1325,depto,venta,4.0,19.4195256,-99.162549,1.0,,1.0,60.0,60.0,0.0,3395000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta Roma Norte,"Snsn, Roma Norte, Cuauhtémoc, Distrito Federal",1332,depto,venta,32.0,19.419526,-99.162549,2.0,,2.0,0.0,78.0,0.0,4714700.0,metros_cubicos,POINT (-99.162549 19.419526),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Cuauhtemoc Roma Norte 211906rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1333,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,7.0,4110000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte  Ff  21 - 2490 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",1335,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,47.0,47.0,0.0,3715282.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta Roma Norte,"Snsn, Roma Norte, Cuauhtémoc, Distrito Federal",1336,depto,venta,32.0,19.419526,-99.162549,2.0,,2.0,0.0,75.0,0.0,4536860.0,metros_cubicos,POINT (-99.162549 19.419526),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta Roma Norte,"Snsn, Roma Norte, Cuauhtémoc, Distrito Federal",1337,depto,venta,32.0,19.419526,-99.162549,2.0,,2.0,0.0,76.0,0.0,4578160.0,metros_cubicos,POINT (-99.162549 19.419526),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte 22940rt,"Roma Norte, Cuauhtémoc, Distrito Federal",1339,depto,venta,3.0,19.4195256,-99.162549,1.0,1.0,1.0,60.0,60.0,0.0,4296668.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte,"Roma Norte, Cuauhtémoc, Distrito Federal",1340,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,60.0,60.0,0.0,4296668.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte,"Roma Norte, Cuauhtémoc, Distrito Federal",1341,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,2.0,3725000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Sur Cuauhtemoc 21868ru,"Roma Norte, Cuauhtémoc, Distrito Federal",1342,depto,venta,4.0,19.4195256,-99.162549,3.0,2.0,2.0,126.0,126.0,0.0,8700000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Departamento En Venta En Roma Norte 212489nc,"Roma Norte, Cuauhtémoc, Distrito Federal",1343,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,39.0,39.0,0.0,2980000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
Gran Oportunidad Para Tu Patrimonio En Av. Oaxaca -ams,"Roma Norte, Ciudad De México, Cdmx, México, Roma Norte, Cuauhtémoc, Distrito Federal",1347,depto,venta,29.0,19.4195256,-99.162549,1.0,1.0,2.0,120.0,120.0,0.0,4100000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,09,015,0001,1002,Urbana
"Departamentos A Una Cuadra De Glorieta De Los Insurgentes Y Universidad De Las Americas, Puedes Unir Espacios Si Lo Deseas Comprando 2 O Más","Insurgentes Sur 179, Roma Norte, Cuauhtémoc, Distrito Federal",1350,depto,venta,6.0,19.419525,-99.162549,1.0,,1.0,39.0,39.0,0.0,3000000.0,metros_cubicos,POINT (-99.162549 19.419525),12699,0901500011002,09,015,0001,1002,Urbana
