main_name,location,id,property_type,price_type,days_on_site,lat,lon,Baños,Estacionamientos,Recámaras,m2_totales,m2_construidos,years,price_final,source,geometry,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito,new_id,num_comercios,is_consultorio,is_recreativo,is_retail,is_escuela,is_depto,Baños_imp,Recámaras_imp,m2_totales_imp,m2_construidos_imp,precio_m2,precio_m2_con,m2_ratio,m2_price_ratio,precio_m2_final
departamento en venta calle zacatecas roma norte ,"Roma Norte, Cuauhtémoc, Distrito Federal",905,depto,venta,2.0,19.4195256,-99.162549,2.0,1.0,1.0,72.0,72.0,2.0,4590000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,308,317.0,17.0,59.0,71.0,15.0,1,2.0,1.0,72.0,72.0,63750.0,63750.0,1.0,1.0,63750.0
departamento en venta en roma norte  ff  22  -  1619 - 1,"Roma Norte, Cuauhtémoc, Distrito Federal",907,depto,venta,2.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,2.0,3725082.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,309,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,57.0,57.0,65352.31578947369,65352.31578947369,1.0,1.0,65352.31578947369
departamento en venta en roma norte cuauhtemoc 212064al,"Roma Norte, Cuauhtémoc, Distrito Federal",910,depto,venta,4.0,19.4195256,-99.162549,2.0,,2.0,81.0,81.0,0.0,5292000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,310,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,81.0,81.0,65333.333333333336,65333.333333333336,1.0,1.0,65333.333333333336
"caminando de la cibeles, con terraza","Tabasco, Roma Norte, Cuauhtémoc, Distrito Federal",917,depto,venta,47.0,19.4184898,-99.1637389,2.0,1.0,2.0,110.0,110.0,0.0,9500000.0,metros_cubicos,POINT (-99.1637389 19.4184898),12699,0901500011002,9,15,1,1002,Urbana,311,321.0,15.0,60.0,76.0,13.0,1,2.0,2.0,110.0,110.0,86363.63636363637,86363.63636363637,1.0,1.0,86363.63636363637
departamento en venta en roma norte calle san luis potosí ir22947,"Roma Norte, Cuauhtémoc, Distrito Federal",919,depto,venta,2.0,19.4195256,-99.162549,2.0,2.0,2.0,159.0,159.0,0.0,10855180.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,312,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,159.0,159.0,68271.57232704402,68271.57232704402,1.0,1.0,68271.57232704402
departamento en venta roma norte manzanillo,"Roma Norte, Cuauhtémoc, Distrito Federal",921,depto,venta,3.0,19.4195256,-99.162549,1.0,,1.0,42.0,42.0,41.0,2595000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,313,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,42.0,42.0,61785.71428571428,61785.71428571428,1.0,1.0,61785.71428571428
penthouse en roma norte zacatecas lc212447,"Roma Norte, Cuauhtémoc, Distrito Federal",924,depto,venta,2.0,19.4195256,-99.162549,3.0,2.0,3.0,284.0,284.0,0.0,12900000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,314,317.0,17.0,59.0,71.0,15.0,1,3.0,3.0,284.0,284.0,45422.535211267605,45422.535211267605,1.0,1.0,45422.535211267605
"3541 av. chapultepec, roma norte","Av  Chapultepec, Roma Norte, Cuauhtémoc, Distrito Federal",925,depto,venta,,19.423454,-99.161918,2.0,2.0,3.0,213.0,213.0,0.0,7000000.0,metros_cubicos,POINT (-99.161918 19.423454),12699,0901500011002,9,15,1,1002,Urbana,315,330.0,7.0,61.0,84.0,13.0,1,2.0,3.0,213.0,213.0,32863.849765258215,32863.849765258215,1.0,1.0,32863.849765258215
departamento en venta cordoba cuauhtemoc. roma norte,"Roma Norte, Cuauhtémoc, Distrito Federal",929,depto,venta,2.0,19.4195256,-99.162549,2.0,1.0,3.0,86.0,86.0,34.0,4495000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,316,317.0,17.0,59.0,71.0,15.0,1,2.0,3.0,86.0,86.0,52267.441860465115,52267.441860465115,1.0,1.0,52267.441860465115
departamento en venta en cordoba roma norte 214976ru,"Roma Norte, Cuauhtémoc, Distrito Federal",933,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,3.0,86.0,86.0,0.0,4495000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,318,317.0,17.0,59.0,71.0,15.0,1,2.0,3.0,86.0,86.0,52267.441860465115,52267.441860465115,1.0,1.0,52267.441860465115
departamento en venta en roma norte cordoba 214976ru,"Roma Norte, Cuauhtémoc, Distrito Federal",934,depto,venta,4.0,19.4195256,-99.162549,2.0,1.0,3.0,86.0,86.0,0.0,4495000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,319,317.0,17.0,59.0,71.0,15.0,1,2.0,3.0,86.0,86.0,52267.441860465115,52267.441860465115,1.0,1.0,52267.441860465115
departamento en renta en roma norte en medellin,"Roma Norte, Cuauhtémoc, Distrito Federal",938,depto,renta,15.0,19.4195256,-99.162549,1.0,1.0,2.0,96.0,96.0,10.0,25001.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,320,317.0,17.0,59.0,71.0,15.0,1,1.0,2.0,96.0,96.0,44644.642857142855,44644.642857142855,1.0,1.0,44644.642857142855
departamento  en roma norte / cuauhtémoc - ari-698-de,"Roma Norte, Cuauhtémoc, Distrito Federal",939,depto,venta,2.0,19.4195256,-99.162549,2.0,,2.0,82.0,82.0,0.0,4450000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,321,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,82.0,82.0,54268.29268292683,54268.29268292683,1.0,1.0,54268.29268292683
departamento en venta en roma norte cuauhtemoc 2268al,"Roma Norte, Cuauhtémoc, Distrito Federal",941,depto,venta,4.0,19.4195256,-99.162549,2.0,2.0,2.0,85.0,85.0,0.0,3995000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,322,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,85.0,85.0,47000.0,47000.0,1.0,1.0,47000.0
departamento en venta cuauhtemoc roma norte gch223135,"Roma Norte, Cuauhtémoc, Distrito Federal",945,depto,venta,33.0,19.4195256,-99.162549,2.0,2.0,2.0,122.0,122.0,1.0,8403543.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,323,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,122.0,122.0,68881.5,68881.5,1.0,1.0,68881.5
departamento en venta roma norte zacatecas ,"Roma Norte, Cuauhtémoc, Distrito Federal",948,depto,venta,2.0,19.4195256,-99.162549,1.0,,1.0,57.0,57.0,2.0,3725000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,324,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,57.0,57.0,65350.87719298246,65350.87719298246,1.0,1.0,65350.87719298246
departamento en venta en roma norte 22948ru,"Roma Norte, Cuauhtémoc, Distrito Federal",951,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,60.0,60.0,41.0,3395000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,325,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,60.0,60.0,56583.333333333336,56583.333333333336,1.0,1.0,56583.333333333336
departamento en venta en cuauhtémoc roma norte 21-1901ig,"Roma Norte, Cuauhtémoc, Distrito Federal",952,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,2.0,3725000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,326,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,57.0,57.0,65350.87719298246,65350.87719298246,1.0,1.0,65350.87719298246
departamento en venta roma norte dh 21 2064,"Roma Norte, Cuauhtémoc, Distrito Federal",953,depto,venta,4.0,19.4195256,-99.162549,2.0,,2.0,81.0,81.0,81.0,5440002.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,327,317.0,17.0,59.0,71.0,15.0,1,2.0,2.0,81.0,81.0,67160.51851851853,67160.51851851853,1.0,1.0,67160.51851851853
"departamento en venta cuauhtémoc, roma norte gis.","Roma Norte, Cuauhtémoc, Distrito Federal",954,depto,venta,4.0,19.4195256,-99.162549,1.0,1.0,1.0,57.0,57.0,2.0,3750000.0,metros_cubicos,POINT (-99.162549 19.4195256),12699,0901500011002,9,15,1,1002,Urbana,328,317.0,17.0,59.0,71.0,15.0,1,1.0,1.0,57.0,57.0,65789.47368421052,65789.47368421052,1.0,1.0,65789.47368421052
