id,price,name,lat,lon,Baños,Recámaras,terreno
205,8000000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 57072",19.4143,-99.15805,3.0,2,202.0
206,5700000,DEPARTAMENTO EN VENTA ROMA NORTE,19.4202,-99.1684,2.0,2,109.0
207,10750000,"Garden House en venta, terraza, Col Roma Norte",19.41565,-99.16493,3.0,3,
209,5463500,VENTA DEPARTAMENTO PARA ESTRENAR EN LA COLONIA ROMA,19.41534,-99.15821,2.0,2,
210,5900000,VENTA DEPARTAMENTO EN LA COLONIA ROMA,19.42215,-99.16036,2.0,2,
211,6795000,DEPARTAMENTO PARA ESTRENAR EN LA COLONIA ROMA,19.41294,-99.16158,1.0,1,
213,14700000,PH en Venta Roma Norte Cuauhtémoc,19.42028,-99.17046,3.0,3,
214,14700000,"Venta PH ,Zacatecas Roma Norte, Cuauhtemoc",19.41624,-99.1573,3.0,3,
215,6680000,"En Planta Baja, Hermoso Departamento Con Amplia Terraza en Roma Norte",19.41898,-99.15881,2.0,2,128.0
216,13000000,VERACRUZ CONDESA,19.41801,-99.17481,3.0,3,
217,628000,BONITO DEPTO EN ROMA NORTE REMATE BANCARIO,19.42074,-99.16538,2.0,3,100.0
218,6600000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 56559",19.41239,-99.15623,2.0,2,126.0
219,4496000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 1 recámara, ID: 56589",19.42186,-99.16364,1.0,1,56.0
220,4378000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 56557",19.41239,-99.15623,2.0,2,65.0
226,4650000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 1 recámara, ID: 56591",19.42008,-99.16704,1.0,1,43.0
227,5197500,"Venta de Departamento en Roma Norte, Cuauhtémoc con 1 recámara, ID: 56590",19.42186,-99.16364,1.0,1,63.0
228,4389000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 56556",19.41239,-99.15623,2.0,2,63.0
229,8200000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 3 recámaras, ID: 49920",19.41367,-99.16546,3.0,3,141.0
230,8250000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 41507",19.42107,-99.15579,2.0,2,167.0
231,9305538,"Venta de Departamento en Roma Norte, Cuauhtémoc con 3 recámaras, ID: 41505",19.42107,-99.15579,2.0,3,145.0
232,10048500,"Venta de Departamento en Tesorería del Distrito Federal con 3 recámaras, ID: 41506",19.42107,-99.15579,2.0,3,162.0
233,5093000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 1 recámara, ID: 41190",19.42064,-99.17022,1.0,1,58.0
234,5426000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 1 recámara, ID: 41189",19.42064,-99.17022,1.0,1,91.0
235,7639585,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 41075",19.41612,-99.16159,2.0,2,122.0
236,12203137,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 41076",19.41612,-99.16159,2.0,2,208.0
237,12839444,"Venta de Departamento en Roma Norte, Cuauhtémoc con 3 recámaras, ID: 41077",19.41612,-99.16159,2.0,3,208.0
238,7425000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 56344",19.42059,-99.17513,2.0,2,146.0
239,5600000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 2 recámaras, ID: 56425",19.4143,-99.15805,2.0,2,97.0
240,5000000,"Venta de Departamento en Roma Norte, Cuauhtémoc con 4 recámaras, ID: 44859",19.42001,-99.15549,2.0,4,192.0
